Наявне населення,населення на 1 лютого 2021 року, середня чисельність у січні 2021 року, Постійне населення,на 1 лютого 2021 року, середня чисельність у січні 2021 року

Одеська область,2366594,2367351,2355534,2356291
Одеський район,1382011,1382276,1365550,1365815
м.Одеса,1015372,1015599,997709,997936

====Райони====
Березівський,106442,106466,106983,107007
Білгород-Дністровський,198396,198484,197852,197940
Болградський,146276,146350,147853,147927
Ізмаїльський,207100,207217,209601,209718
Подільський,223884,224023,224894,225033
Роздільнянський,102485,102535,102801,102851
